2025-09-07 02:41:35 | root | INFO | setup_logging:55 | Logging configured - Level: INFO, File: logs/dashboard_20250907_024135.log
2025-09-07 02:41:35 | __main__ | INFO | __init__:38 | Dashboard application initialized successfully
2025-09-07 02:41:35 | __main__ | INFO | run:304 | Starting dashboard server on 0.0.0.0:8050
2025-09-07 02:41:35 | dash.dash | INFO | run:2254 | Dash is running on http://0.0.0.0:8050/

2025-09-07 02:41:38 | __main__ | INFO | render_page_content:220 | Rendering page: tickers
2025-09-07 02:41:38 | services.portfolio_service | INFO | _build_portfolio_snapshot:31 | Building portfolio snapshot
2025-09-07 02:41:38 | services.data_service | INFO | load_trades:55 | Successfully loaded 96 trades
2025-09-07 02:41:38 | services.data_service | INFO | get_price_history:75 | Downloading data for VUAA.L
2025-09-07 02:41:39 | services.data_service | INFO | get_price_history:75 | Downloading data for EQAC.SW
2025-09-07 02:41:39 | services.data_service | INFO | get_price_history:75 | Downloading data for EUR=X
2025-09-07 02:41:39 | services.data_service | INFO | get_price_history:96 | Aligned data to 313 common dates
2025-09-07 02:41:39 | services.data_service | INFO | validate_data_integrity:123 | Data integrity validation passed
2025-09-07 02:41:39 | services.data_service | INFO | load_trades:55 | Successfully loaded 96 trades
2025-09-07 02:41:39 | services.calculation_service | ERROR | calculate_performance_metrics:78 | Error calculating performance metrics: 'Trade' object has no attribute 'symbol'
2025-09-07 02:41:39 | services.portfolio_service | ERROR | _process_ticker:124 | Error processing ticker VUAA.EU: 'Trade' object has no attribute 'symbol'
2025-09-07 02:41:39 | services.portfolio_service | ERROR | _build_portfolio_snapshot:69 | Error building portfolio snapshot: 'Trade' object has no attribute 'symbol'
2025-09-07 02:41:39 | ui.pages | ERROR | render:55 | Error rendering tickers page: 'Trade' object has no attribute 'symbol'
